Date,PlayerNo.,Name,CashBuilder,Chaser,LowerOffer,HigherOffer,ChosenOffer,HTHResult,FC CorrectAnswers,FC Winner,Amount WonBy Player,bgc,Series
29/06/2009,P1,Lisa,"£5,000",Mark Labbett,"£2,000","£10,000","£2,000 \/",Caught -1,,Chaser by 0:07,£0,,1
29/06/2009,P2,Ian,"£7,000",Mark Labbett,"£2,000","£20,000","£20,000 /\",Home +1,1 (team 2),Chaser by 0:07,£0,C,1
29/06/2009,P3,Claire,"£8,000",Mark Labbett,"£2,000","£20,000","£8,000 =",Caught -3,,Chaser by 0:07,£0,,1
29/06/2009,P4,Driss,"£9,000",Mark Labbett,£200,"£20,000",£200 \/,Home +5,15 (team 2),Chaser by 0:07,£0,C,1
30/06/2009,P1,Bradley,"£8,000",Shaun Wallace,"£4,000","£16,000","£8,000 =",Home +1,14 (team 3),Chaser by 0:02,£0,C,1
30/06/2009,P2,Christine,"£3,000",Shaun Wallace,"£1,000","£13,000","£3,000 =",Home +2,1 (team 3),Chaser by 0:02,£0,C,1
30/06/2009,P3,Foiz,"£6,000",Shaun Wallace,"£1,000","£25,000","£25,000 /\",Home +1,2 (team 3),Chaser by 0:02,£0,C,1
30/06/2009,P4,Jill,"£6,000",Shaun Wallace,"£1,000","£14,000","£6,000 =",Caught -2,,Chaser by 0:02,£0,,1
01/07/2009,P1,Lynn,"£7,000",Mark Labbett,"£4,000","£14,000","£7,000 =",Home +1,2 (team 4),Chaser by 0:08,£0,C,1
01/07/2009,P2,Paul,"£9,000",Mark Labbett,"£3,000","£18,000","£3,000 \/",Home +1,3 (team 4),Chaser by 0:08,£0,C,1
01/07/2009,P3,Liz,"£7,000",Mark Labbett,"£2,000","£20,000","£2,000 \/",Home +4,2 (team 4),Chaser by 0:08,£0,C,1
01/07/2009,P4,Ray,"£8,000",Mark Labbett,£400,"£16,000",£400 \/,Home +3,11 (team 4),Chaser by 0:08,£0,C,1
02/07/2009,P1,Mike,"£8,000",Shaun Wallace,"£4,000","£16,000","£8,000 =",Caught -5,,Team by 6,£0,,1
02/07/2009,P2,Sally,"£10,000",Shaun Wallace,"£2,000","£20,000","£10,000 =",Home +3,14 (team 3),Team by 6,"£5,500",T,1
02/07/2009,P3,Ciaran,"£5,000",Shaun Wallace,"£1,500","£15,000","£1,500 \/",Home +1,1 (team 3),Team by 6,"£5,500",T,1
02/07/2009,P4,Bette,"£5,000",Shaun Wallace,£500,"£11,000","£5,000 =",Home +2,2 (team 3),Team by 6,"£5,500",T,1
03/07/2009,P1,Allan,"£5,000",Shaun Wallace,"£3,000","£15,000","£15,000 /\",Caught -4,,Chaser by 0:24,£0,,1
03/07/2009,P2,Lisa,"£10,000",Shaun Wallace,"£5,000","£20,000","£10,000 =",Home +5,8 (team 2),Chaser by 0:24,£0,C,1
03/07/2009,P3,Phil,"£6,000",Shaun Wallace,"£1,000","£15,000","£6,000 =",Home +3,4 (team 2),Chaser by 0:24,£0,C,1
03/07/2009,P4,Emma,"£10,000",Shaun Wallace,£500,"£20,000","£10,000 =",Caught -4,,Chaser by 0:24,£0,,1
06/07/2009,P1,Gail,"£6,000",Mark Labbett,"£2,000","£12,000","£6,000 =",Home +2,4 (team 3),Team by 1,"£4,000",T,1
06/07/2009,P2,Ed,"£4,000",Mark Labbett,"£1,000","£14,000","£4,000 =",Home +2,7 (team 3),Team by 1,"£4,000",T,1
06/07/2009,P3,Kevin,"£6,000",Mark Labbett,"£2,000","£18,000","£6,000 =",Caught -3,,Team by 1,£0,,1
06/07/2009,P4,Elisabeth,"£4,000",Mark Labbett,"£2,000","£20,000","£2,000 \/",Home +1,6 (team 3),Team by 1,"£4,000",T,1
07/07/2009,P1,Alison,"£8,000",Mark Labbett,"£4,000","£16,000","£8,000 =",Caught -4,,Chaser by 0:05,£0,C,1
