Date,Episode,Team,Chaser,NPlayersFinal,PrizeFund,Target,Series,isCelebrity,ChaserWin,ChaserWinBy,ChaserLoseBy
29/06/2009,1.0,"Lisa, Ian, Claire, Driss",Mark Labbett,2,20200.0,18,1,False,True,7,0
30/06/2009,2.0,"Bradley, Christine, Foiz, Jill",Shaun Wallace,3,36000.0,20,1,False,True,2,0
01/07/2009,3.0,"Lynn, Paul, Liz, Ray",Mark Labbett,4,12400.0,22,1,False,True,8,0
02/07/2009,4.0,"Mike, Sally, Ciaran, Bette",Shaun Wallace,3,16500.0,20,1,False,False,0,6
03/07/2009,5.0,"Allan, Lisa, Phil, Emma",Shaun Wallace,2,16000.0,14,1,False,True,24,0
06/07/2009,6.0,"Gail, Ed, Kevin, Elisabeth",Mark Labbett,3,12000.0,20,1,False,False,0,1
07/07/2009,7.0,"Alison, Gareth, Oliver, Victoria",Mark Labbett,0,4000.0,19,1,False,True,5,0
08/07/2009,8.0,"Kay, James, Julia, Cornelius",Shaun Wallace,2,22000.0,24,1,False,False,0,2
09/07/2009,9.0,"Michelle, James, Paul, Jenni",Shaun Wallace,2,17000.0,17,1,False,True,34,0
10/07/2009,10.0,"Chris, Wendy, Malcolm, Jackie",Mark Labbett,3,21000.0,12,1,False,True,47,0
24/05/2010,1.0,"Matthew, Angela, Les, Rebecca",Shaun Wallace,3,16000.0,19,2,False,True,17,0
25/05/2010,2.0,"Roger, David, Clare, Adrian",Mark Labbett,4,28000.0,23,2,False,True,10,0
26/05/2010,3.0,"Richard, Martin, Wendy, Helen",Mark Labbett,2,18000.0,14,2,False,True,35,0
27/05/2010,4.0,"Olivia, Gareth, Jo, Chris",Shaun Wallace,4,19000.0,25,2,False,False,0,2
28/05/2010,5.0,"Howard, Sarah, Neil, Gillian",Anne Hegerty,2,15000.0,21,2,False,True,22,0
31/05/2010,6.0,"George, Jo, Terry, Callum",Mark Labbett,2,20500.0,22,2,False,False,0,6
01/06/2010,7.0,"Mike, Carole, Robbie, Wendy",Anne Hegerty,3,31000.0,21,2,False,True,19,0
02/06/2010,8.0,"Emma, Peter, Hilda, Mark",Shaun Wallace,3,20000.0,22,2,False,True,1,0
